Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,whyplay_winning,whyplay_fun,whyplay_improving,whyplay_relaxing,whyplay_otherpeople,whyplay_habit
25.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,Male,18,Student at school,UK,-1.0,yes,yes,strangers,Yes,No,No,No,No,No
25.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,22,Employed,South Africa,15.0,yes,yes,strangers,Yes,No,No,No,No,No
16.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,Male,22,Student at college / university,Germany,45.0,yes,yes,strangers,No,No,Yes,No,No,No
20.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,Male,27,Student at college / university,Germany,15.0,yes,yes,friends,No,No,Yes,No,No,No
15.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,20,Unemployed / between jobs,USA,16.0,yes,yes,friends,No,No,Yes,No,No,No
50.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Unemployed / between jobs,Croatia,5.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
12.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,Male,18,Student at college / university,UK,50.0,yes,yes,strangers,Yes,No,No,No,No,No
28.0,0.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,Male,19,Unemployed / between jobs,Switzerland,33.0,no,no,alone,No,Yes,No,No,No,No
25.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Croatia,21.0,yes,yes,strangers,No,No,Yes,No,No,No
42.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Male,27,Employed,India,15.0,yes,yes,various,No,Yes,No,No,No,No
20.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,Female,21,Employed,Germany,21.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at college / university,Netherlands,11.0,yes,yes,online acquaintaces,No,No,No,Yes,No,No
80.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,4.0,Male,18,Student at college / university,UK,37.0,yes,yes,strangers,Yes,No,No,No,No,No
50.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,Male,19,Student at college / university,USA,34.0,yes,yes,strangers,No,No,Yes,No,No,No
40.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,Male,22,Student at college / university,Denmark,35.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
10.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,Female,20,Employed,Portugal,25.0,yes,yes,friends,No,Yes,No,No,No,No
10.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,22,Student at college / university,UK,12.0,yes,yes,strangers,No,No,Yes,No,No,No
28.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,France,4.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
30.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,France,22.0,yes,yes,friends,No,Yes,No,No,No,No
