Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
62,0,0,0,0,0,0,0,40.0,having fun,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,Male,27,Employed,Sweden,Singleplayer,0,35.0,SWE,SWE
63,1,0,1,0,0,2,0,18.0,improving,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at college / university,USA,Multiplayer - online - with strangers,4,4.0,USA,USA
64,2,0,1,2,2,2,0,5.0,having fun,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,Female,30,Employed,Germany,Multiplayer - online - with strangers,9,38.0,DEU,USA
65,2,2,3,2,2,2,2,25.0,having fun,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,Female,18,Student at school,UK,Multiplayer - online - with strangers,15,32.0,GBR,GBR
66,3,3,2,3,1,3,3,1.0,relaxing,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,18,Student at college / university,USA,Singleplayer,18,64.0,USA,GBR
67,2,3,3,3,3,3,2,14.0,relaxing,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,Male,22,Student at college / university,USA,Singleplayer,19,64.0,USA,USA
68,1,1,1,0,0,2,1,2.0,relaxing,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,Female,24,Student at college / university,Belgium,Singleplayer,6,25.0,BEL,BEL
69,1,1,1,0,0,0,0,12.0,winning,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Male,18,Student at college / university,USA,Multiplayer - online - with online acquaintances or teammates,3,11.0,USA,USA
70,0,0,0,0,0,0,0,40.0,having fun,,,,,,,,,,,,,,,,,,Male,19,Student at school,USA,Multiplayer - online - with real life friends,0,,USA,USA
71,1,0,1,2,1,1,1,10.0,improving,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Male,40,Employed,Canada,Singleplayer,7,54.0,CAN,CAN
